ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
10931,1433249,Active,103508,3HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,East 54 Street,S,Lexington Avenue,3 Avenue,40.7584973397097,-73.9694523275003,"992,712.85150063","215,619.218745649",POINT (-73.9694523275 40.75849733971)
9986,1443539,Active,105173,1HR Com Mon-Fri 0700-1900,,On Street,Manhattan,East 26 Street,N,5 Avenue,Madison Avenue,40.7433014825076,-73.9877458735218,"987,645.627383143","210,081.639597729",POINT (-73.987745873522 40.743301482508)
8811,1023183,Active,102424,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Essex Street,E,Canal Street,Grand Street,40.7163141221481,-73.9892535286455,"987,229.061287135","200,249.247845232",POINT (-73.989253528645 40.716314122148)
4741,3123090,Active,312488,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,8 Avenue,E,56 Street,55 Street,40.6380458348402,-74.0068016354622,"982,362.284275308","171,733.752710983",POINT (-74.006801635462 40.63804583484)
278,4152150,Active,422266,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,46 Road,N,5 Street,Vernon Boulevard,40.746286985911,-73.9532495266077,"997,204.009184971","211,172.5731114",POINT (-73.953249526608 40.746286985911)
11640,1023098,Active,102885,2HR Pas Mon-Sat 0700-1900,,On Street,Manhattan,Chrystie Street,E,Canal Street,Grand Street,40.7173243399277,-73.9941400017209,"985,874.442933381","200,617.172634304",POINT (-73.994140001721 40.717324339928)
3276,4033060,Active,424994,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Jamaica Avenue,S,168 Place,170 Street,40.7066989831161,-73.7910239306851,"1,042,189.18004122","196,815.090015396",POINT (-73.791023930685 40.706698983116)
623,4061125,Active,463559,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,College Point Boulevard,W,Sanford Avenue,Maple Avenue,40.7540773928618,-73.8330540523196,"1,030,503.3336623","214,051.488285303",POINT (-73.83305405232 40.754077392862)
7332,2193003,Active,210391,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,East Mt. Eden Avenue N Rdwy,S,Walton Avenue,Grand Concourse,40.84334665539,-73.9126145949337,"1,008,428.19375755","246,543.382947057",POINT (-73.912614594934 40.84334665539)
6238,3483023,Active,313140,2 HR Pas Mon-Fri 0800-1900,,On Street,Brooklyn,Kings Highway,S,Van Sicklen Street,Lake Street,40.6042658597896,-73.9734640765566,"991,618.468518808","159,427.858687639",POINT (-73.973464076557 40.60426585979)
15024,1153037,Active,102602,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,East 12 Street,S,4 Avenue,3 Avenue,40.7321277615492,-73.9886503069103,"987,395.535691723","206,010.666440472",POINT (-73.98865030691 40.732127761549)
4113,3063043,Retired,310725,1HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Coney Island Avenue,E,Avenue V,Avenue U,40.5974311714809,-73.960996020914,"995,081.694203883","156,939.101854146",POINT (-73.960996020914 40.597431171481)
11807,1013007,Active,110167,2 HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,West 125 Street,N,Lenox Avenue,7 Avenue,40.8088165555589,-73.9477374261451,"998,717.7555013","233,955.062651306",POINT (-73.947737426145 40.808816555559)
879,1208060,Active,111413,2 HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,3 Avenue,W,East 110 Street,East 111 Street,40.7945513603249,-73.9426409986972,"1,000,131.99348646","228,758.635708228",POINT (-73.942640998697 40.794551360325)
2244,4233166,Active,425437,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,31 Street,W,Newtown Avenue,30 Avenue,40.7675464919653,-73.9209766398584,"1,006,139.4591618","218,924.520533979",POINT (-73.920976639858 40.767546491965)
6615,2293013,Active,205343,2 HR Pas Mon-Sat 0730-1900,,On Street,Bronx,Boston Road,E,Grace Avenue,Edison Avenue,40.8806477336069,-73.8401080109546,"1,028,464.82363172","260,161.90492256",POINT (-73.840108010955 40.880647733607)
1522,2162883,Active,218505,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,East Tremont Avenue,S,Philip Avenue,Dill Place,40.827042994473,-73.8227827711368,"1,033,295.26574247","240,640.906563058",POINT (-73.822782771137 40.827042994473)
